Cronologia del Santuario della Madonna del Rio
Data / periodo	Didascalia
10 settembre 1854	Solenne festa del Nome di Maria. La festività fu celebrata con grande pompa. Il tempio fu sontuosamente apparato e la celebrazione fu accompagnata dalla banda filarmonica di Casola Valsenio, con grande afflusso di popolo.
settembre 1855	Festa di ringraziamento dopo il colera. Si celebrò una festa più solenne del solito in ringraziamento alla Vergine, cui fu attribuita la protezione della popolazione durante l’epidemia di colera. Nella Pieve di Gesso morirono poche persone, mentre nella vicina Fontanelice si contarono 79 morti in 51 giorni. Circa 700 persone si comunicarono.
1855	Nuovo frontale e corona di fiori. In occasione della festa di ringraziamento, a spese di Davide Barbieri di Monceleto e Benedetto Luzzi di Ca’ del Becco, fu rifatto il frontale e fu realizzata una corona di fiori in seta per la sacra immagine.
prima domenica di giugno 1856	Festa del Cuore di Maria e ringraziamento per la salvezza dal colera. L’anno successivo, per cura del Ceroni, si celebrò una solenne festa di ringraziamento alla Vergine. La celebrazione fu preceduta da fuochi d’artificio, razzi, bombe e spari di mortari. La Madonna fu portata in processione tra grande commozione popolare; circa 800 persone si accostarono ai sacramenti.
1856	Istituzione della festa del Cuore di Maria. La festa del Cuore di Maria, celebrata la prima domenica di giugno, fu istituita dal Ceroni stesso.
1884	Restauro del tempio e nuove pitture. Per cura del pievano don Raffaele Santi e dei benefattori don Luigi Longhi e fratelli Barbieri, il Santuario fu restaurato. Il coro e l’ancona furono dipinti dal professor cavaliere Carlo Novelli di Ravenna, direttore degli antichi mosaici di Ravenna.
13 settembre 1885	Solenne incoronazione dell’immagine di Maria. La sacra immagine fu solennemente incoronata da monsignor Giambattista Costa, protonotario apostolico e canonico teologo della Cattedrale d’Imola, delegato dal vescovo diocesano monsignor Luigi Tesorieri. Per un mese predicarono i missionari padre Baldassarre Santi e don Giuseppe Mamini, con grande afflusso di pellegrini dai monti vicini e lontani.
fine Ottocento	Opera di don Luigi Longhi. A don Luigi Longhi si devono importanti iniziative per il Santuario: la solenne incoronazione dell’immagine, le nuove campane, numerosi oggetti di culto e la Pia Unione della Madonna del Rio.
1891	Fusione delle nuove campane. Le nuove campane furono realizzate da Clemente Brighenti di Bologna, grazie alle offerte raccolte con grande impegno da don Luigi Longhi in tutta la diocesi e anche presso benefattori lontani.
settembre 1891	Trasporto delle campane al Santuario. Le campane furono portate al Santuario durante la festa di settembre, celebrata quell’anno con particolare solennità per il centenario di San Luigi Gonzaga.
1891	Le tre campane del Santuario. La prima campana pesava 362 libbre, la seconda 160 libbre, la terza 140 libbre. La spesa complessiva fu di 1.050 lire.
